id1	id2	boundary
75	131	4387.0
76	103	4387.0
76	104	4387.0
76	132	4387.0
77	104	4387.0
77	105	4387.0
77	133	4387.0
78	105	4387.0
78	106	4387.0
78	134	4387.0
79	106	4387.0
79	107	4387.0
79	135	4387.0
80	107	4387.0
80	108	4387.0
80	136	4387.0
81	108	4387.0
81	109	4387.0
81	137	4387.0
82	109	4387.0
82	110	4387.0
82	138	4387.0
83	110	4387.0
83	111	4387.0
83	139	4387.0
84	111	4387.0
84	112	4387.0
84	140	4387.0
85	112	4387.0
85	113	4387.0
85	141	4387.0
86	113	4387.0
86	114	4387.0
86	142	4387.0
87	114	4387.0
87	115	4387.0
87	143	4387.0
88	115	4387.0
88	116	4387.0
88	144	4387.0
89	116	4387.0
89	117	4387.0
89	145	4387.0
90	117	4387.0
90	118	4387.0
90	146	4387.0
91	118	4387.0
91	119	4387.0
91	147	4387.0
92	119	4387.0
92	120	4387.0
92	148	4387.0
93	120	4387.0
93	121	4387.0
93	149	4387.0
94	121	4387.0
94	122	4387.0
94	150	4387.0
95	122	4387.0
95	123	4387.0
95	151	4387.0
96	123	4387.0
96	124	4387.0
96	152	4387.0
97	124	4387.0
97	125	4387.0
97	153	4387.0
98	98	2193.0
98	125	4387.0
98	126	4387.0
98	154	4387.0
99	99	4387.0
99	126	4387.0
99	127	4387.0
99	155	4387.0
100	100	6580.0
100	127	4387.0
100	128	4387.0
100	156	4387.0
101	101	6580.0
101	129	4387.0
101	130	4387.0
101	160	4387.0
102	102	4387.0
102	130	4387.0
102	131	4387.0
102	161	4387.0
103	131	4387.0
103	132	4387.0
103	162	4387.0
104	132	4387.0
104	133	4387.0
104	163	4387.0
105	133	4387.0
105	134	4387.0
105	164	4387.0
106	134	4387.0
106	135	4387.0
106	165	4387.0
107	135	4387.0
107	136	4387.0
107	166	4387.0
108	136	4387.0
108	137	4387.0
108	167	4387.0
109	137	4387.0
109	138	4387.0
109	168	4387.0
110	138	4387.0
110	139	4387.0
110	169	4387.0
111	139	4387.0
111	140	4387.0
111	170	4387.0
112	140	4387.0
112	141	4387.0
112	171	4387.0
113	141	4387.0
113	142	4387.0
113	172	4387.0
114	142	4387.0
114	143	4387.0
114	173	4387.0
115	143	4387.0
115	144	4387.0
115	174	4387.0
116	144	4387.0
116	145	4387.0
116	175	4387.0
117	145	4387.0
117	146	4387.0
117	176	4387.0
118	146	4387.0
118	147	4387.0
118	177	4387.0
119	147	4387.0
119	148	4387.0
119	178	4387.0
120	148	4387.0
120	149	4387.0
120	179	4387.0
121	149	4387.0
121	150	4387.0
121	180	4387.0
122	150	4387.0
122	151	4387.0
122	181	4387.0
123	151	4387.0
123	152	4387.0
123	182	4387.0
124	152	4387.0
124	153	4387.0
124	183	4387.0
125	153	4387.0
125	154	4387.0
125	184	4387.0
126	154	4387.0
126	155	4387.0
126	185	4387.0
127	127	2193.0
127	155	4387.0
127	156	4387.0
127	186	4387.0
128	128	4387.0
128	156	4387.0
128	157	4387.0
128	187	4387.0
129	129	4387.0
129	159	4387.0
129	160	4387.0
129	192	4387.0
130	130	2193.0
130	160	4387.0
130	161	4387.0
130	193	4387.0
131	161	4387.0
131	162	4387.0
131	194	4387.0
132	162	4387.0
132	163	4387.0
132	195	4387.0
133	163	4387.0
133	164	4387.0
133	196	4387.0
134	164	4387.0
134	165	4387.0
134	197	4387.0
135	165	4387.0
135	166	4387.0
135	198	4387.0
136	166	4387.0
136	167	4387.0
136	199	4387.0
137	167	4387.0
137	168	4387.0
137	200	4387.0
138	168	4387.0
138	169	4387.0
138	201	4387.0
139	169	4387.0
139	170	4387.0
139	202	4387.0
140	170	4387.0
140	171	4387.0
140	203	4387.0
141	171	4387.0
141	172	4387.0
141	204	4387.0
142	172	4387.0
142	173	4387.0
142	205	4387.0
143	173	4387.0
143	174	4387.0
143	206	4387.0
144	174	4387.0
144	175	4387.0
144	207	4387.0
145	175	4387.0
145	176	4387.0
145	208	4387.0
146	176	4387.0
146	177	4387.0
146	209	4387.0
147	177	4387.0
147	178	4387.0
147	210	4387.0
148	178	4387.0
148	179	4387.0
148	211	4387.0
149	179	4387.0
149	180	4387.0
149	212	4387.0
150	180	4387.0
150	181	4387.0
150	213	4387.0
151	181	4387.0
151	182	4387.0
151	214	4387.0
152	182	4387.0
152	183	4387.0
152	215	4387.0
153	183	4387.0
153	184	4387.0
153	216	4387.0
154	184	4387.0
154	185	4387.0
154	217	4387.0
155	185	4387.0
155	186	4387.0
155	218	4387.0
156	186	4387.0
156	187	4387.0
156	219	4387.0
157	157	4387.0
157	187	4387.0
157	188	4387.0
157	220	4387.0
158	158	6580.0
158	188	4387.0
158	189	4387.0
158	221	4387.0
159	159	4387.0
159	191	4387.0
159	192	4387.0
159	226	4387.0
160	192	4387.0
160	193	4387.0
160	227	4387.0
161	193	4387.0
161	194	4387.0
161	228	4387.0
162	194	4387.0
162	195	4387.0
162	229	4387.0
163	195	4387.0
163	196	4387.0
163	230	4387.0
164	196	4387.0
164	197	4387.0
164	231	4387.0
165	197	4387.0
165	198	4387.0
165	232	4387.0
166	198	4387.0
166	199	4387.0
166	233	4387.0
167	199	4387.0
167	200	4387.0
167	234	4387.0
168	200	4387.0
168	201	4387.0
168	235	4387.0
169	201	4387.0
169	202	4387.0
169	236	4387.0
170	202	4387.0
170	203	4387.0
170	237	4387.0
171	203	4387.0
171	204	4387.0
171	238	4387.0
172	204	4387.0
172	205	4387.0
172	239	4387.0
173	205	4387.0
173	206	4387.0
173	240	4387.0
174	206	4387.0
174	207	4387.0
174	241	4387.0
175	207	4387.0
175	208	4387.0
175	242	4387.0
176	208	4387.0
176	209	4387.0
176	243	4387.0
177	209	4387.0
177	210	4387.0
177	244	4387.0
178	210	4387.0
178	211	4387.0
178	245	4387.0
179	211	4387.0
179	212	4387.0
179	246	4387.0
180	212	4387.0
180	213	4387.0
180	247	4387.0
181	213	4387.0
181	214	4387.0
181	248	4387.0
