species,pu,amount
35339,169,3984463.75187738
35339,170,3984479.92861508
35339,171,3984496.10832806
35339,172,3984512.29098783
35339,173,3984528.4765979
35339,174,3984544.66518105
35339,175,3904801.1380389
35869,175,79759.7186487552
35339,176,288810.305689326
35403,176,478248.946260456
35869,176,3217517.79916956
35403,177,3665881.17864448
35869,177,318712.06988952396
35403,178,3984609.44884618
35403,179,3984625.65206992
35403,180,3984641.85825843
35403,181,3984658.06732043
35403,182,3984674.27930082
35403,183,3984690.49421959
35403,184,3984706.71199053
35403,185,3984722.93268856
35403,186,3984739.15627452
35403,187,3984755.3827377
35403,188,3984771.61209675
35403,189,3984787.84431431
35403,190,3984804.07942246
35403,191,3984820.31737947
35403,192,3984836.55819678
35403,193,3984852.8019053
35403,194,3984869.04842358
35403,195,3984885.29781392
35403,196,3984901.55003668
35403,197,3984917.80509752
35403,198,3984934.06299702
35403,199,3984950.32372133
35403,200,3984966.58727131
35403,201,3984982.85362889
35403,202,3984999.12282267
35403,203,3985015.39479265
35403,204,3985031.6696015
35279,205,259049.39468106
35339,205,498222.03580675
35403,205,3227776.51668371
35279,206,109566.93461674699
35339,206,3795808.97162652
35403,206,79688.3213171573
35339,207,3985080.5107265
35339,208,3985096.79669514
35339,209,3985113.08541594
35339,210,3985129.37692119
35339,211,3985145.67120812
35339,212,3985161.9682402
35339,213,3985178.26804034
35339,214,3985194.57060123
35339,215,3985210.87590905
35339,216,3018701.99650792
35869,216,966525.1874471541
35339,217,1932974.27392231
35869,217,2052269.22081424
35339,218,3975293.01728151
35869,218,9966.7909799351
35339,219,1085867.19310409
35869,219,2899408.93140552
35869,220,3985292.44349366
35869,221,3985308.76518127
35869,222,3985325.08959658
35869,223,3985341.41671727
35869,224,3985357.74653477
35869,225,3985374.07907622
35869,226,3985390.41429474
35339,227,368690.50209729397
35869,227,3616716.25010615
35279,228,229262.187130337
35339,228,1713746.87288458
35403,228,458337.14556699
35869,228,1584076.8837428002
35279,229,3616829.69682856
35339,229,79695.9322906187
35403,229,288913.806950829
35279,230,3985455.78203143
35279,231,3985472.13064762
35279,232,3985488.48194536
35279,233,3985504.83588877
35279,234,3985521.19249455
35279,235,1643918.75232076
35361,235,2341618.79942759
35361,236,3985553.91364862
35361,237,3985570.27818548
35361,238,3985586.64536728
35361,239,3985603.01517493
35361,240,3985619.38760883
35361,241,3985635.76265159
35361,242,3985652.14032939
35361,243,3985668.52061444
35361,244,3985684.90349561
35361,245,3985701.28897565
35361,246,3985717.67706975
35361,247,3985734.06773017
35361,248,3985750.46099985
35361,249,3985766.85682846
35361,250,3985783.25524412
35361,251,3985799.6562495003
35361,252,3985816.05978005
35361,253,3985832.46589184
35361,254,3985848.87457509
35361,255,3985865.28578538
35361,256,3985881.69954348
35361,257,3985898.11587279
35361,258,3985914.53469579
35361,259,3985930.95608675
35361,260,3985947.37996425
35361,261,3985963.8063882994
35361,262,3985980.23532024
35361,263,3985996.6667724
35361,264,3986013.1007234002
35361,265,3986029.53717269
35361,266,3986045.97611278
35361,267,3986062.41755419
35361,268,3986078.86148674
35361,269,3986095.30787474
35361,270,3986111.75676191
35361,271,3986128.20811501
35361,272,3986144.66192786
35361,273,3986161.11819962
35361,274,3986177.57693426
35361,275,3986194.03811173
35361,276,3986210.50173909
35361,277,3986226.96779314
35361,278,3986243.43630924
35361,279,3986259.90723561
35361,280,3986276.38059564
35361,281,3986292.85635932
35361,282,3986309.33456962
35361,283,3986325.81515424
35361,284,3986342.29815892
35361,285,3986358.78356015
35361,286,3986375.27136589
35361,287,3986391.76154649
35361,288,3986408.25412961
35361,289,3986424.74907059
35361,290,3986441.24639934
35361,291,3986457.74610604
35361,292,3986474.2481592004
35361,293,3986490.75255794
35361,294,3986507.25935448
35361,295,3986523.76845948
35361,296,3986540.27992503
35361,297,3986556.79372795
35361,298,3986573.30987479
35339,299,3833703.83074187
35869,299,149401.083768168
35339,300,3984172.18812925
35339,301,3984188.31090558
35339,302,3984204.43673808
35339,303,3984220.56561374
35339,304,3984236.69752118
35339,305,3984252.83247125
35339,306,3984268.97045273
35339,307,3984285.1114643
35339,308,3984301.25548642
35339,309,3984317.40254634
35339,310,3984333.55259898
35339,311,3984349.70565856
35339,312,3984365.86172912
35339,313,3984382.02079622
35339,314,3984398.18284656
35339,315,3984414.34790855
35339,316,3984430.51592128
35339,317,3984446.68693326
35339,318,3984462.86092132
35339,319,3984479.03786925
35339,320,3984495.21777531
35339,321,3984511.40065421
35339,322,3984527.58648029
35339,323,3984543.77526027
35339,324,3984559.96698522
35339,325,1563804.97054288
35869,325,2420771.19108687
35403,326,926534.10832149
35869,326,3058058.2509188
35403,327,3526430.93372383
35869,327,458177.626040656
35403,328,3984624.76320488
35403,329,3984640.96959414
35403,330,3984657.17887431
35403,331,3984673.3910611
35403,332,3984689.60617559
35403,333,3984705.8241684
35403,334,3984722.04508156
35403,335,3984738.26887275
35403,336,3984754.49554465
35403,337,3984770.72511146
35403,338,3984786.95753402
35403,339,3984803.19285527
35403,340,3984819.43101992
35403,341,3984835.67206064
35403,342,3984851.91596428
35403,343,3984868.16270048
35403,344,3984884.41230236
35403,345,3984900.66473695
35403,346,3984916.92000066
35403,347,3984933.17812091
35403,348,3984949.4390554
35403,349,3984965.70281714
35403,350,3984981.96938299
35403,351,3984998.23878467
35403,352,3985014.51096875
35279,353,119563.54054508
35339,353,29901.349373227597
35403,353,3835565.89606912
35279,354,318791.463244975
35339,354,2939081.56830043
35403,354,727174.0322276809
35339,355,3985063.34436752
35339,356,3985079.6277601
