id,cost,status
496,26511.6,0
497,26100.1,0
498,25696.6,0
499,25300.8,0
500,24913.2,0
501,24533.6,0
502,24161.9,0
503,23798.2,0
504,23442.1,0
505,23094,0
506,22753.5,0
507,22420.4,0
508,22094.8,0
509,21776.4,0
510,21465.2,0
511,39924.2,0
512,39788.5,0
513,39615,0
514,39405.2,0
515,39160.8,0
516,38883.8,0
517,38576.4,0
518,38240.9,0
519,37879.9,0
520,37495.4,0
521,37090.4,0
522,36667.1,0
523,36228.1,0
524,35775.5,0
525,35311.7,0
526,34838.9,0
527,34359.1,0
528,33873.9,0
529,33385.3,0
530,32894.9,0
531,32403.9,0
532,31914,0
533,31425.9,0
534,30940.9,0
535,30460,0
536,29983.8,0
537,29512.9,0
538,29048.4,0
539,28590.1,0
540,28139,0
541,27695.1,0
542,27258.8,0
543,26830.4,0
544,26409.9,0
545,25997.6,0
546,25593.4,0
547,25197.3,0
548,24809.6,0
549,24430.1,0
550,24058.6,0
551,23695.2,0
552,23339.8,0
553,22992.1,0
554,22652.4,0
555,22320.2,0
556,21995.5,0
557,21678.2,0
558,21368.1,0
559,40424.9,0
560,40346,0
561,40226.4,0
562,40067.3,0
563,39870.1,0
564,39636.6,0
565,39368.7,0
566,39068.5,0
567,38738.5,0
568,38380.9,0
569,37998.6,0
570,37593.9,0
571,37169.5,0
572,36728,0
573,36271.7,0
574,35803.2,0
575,35324.3,0
576,34837.7,0
577,34345.1,0
578,33848.4,0
579,33349.2,0
580,32849.1,0
581,32349.7,0
582,31851.8,0
583,31356.9,0
584,30865.8,0
585,30379.3,0
586,29898.5,0
587,29423.7,0
588,28955.5,0
589,28494.2,0
590,28040.6,0
591,27594.8,0
592,27156.8,0
593,26727,0
594,26305.6,0
595,25892.6,0
596,25487.9,0
597,25091.9,0
598,24704.1,0
599,24324.8,0
600,23953.6,0
601,23590.7,0
602,23235.9,0
603,22889.3,0
604,22550.3,0
605,22219.1,0
606,21895.5,0
607,21579.2,0
608,21270.2,0
609,20968.3,0
