"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
35,222327651.031195,128892483.450000,5145,23068997.000000,664787887.000000,55903541.000000,23068997.000000,585815349.000000,0.084092,5729.731195,54170.330987,0,0.999947
36,225519561.270000,128803171.770000,5114,23880590.000000,664787887.000000,55091946.000000,23880590.000000,585815351.000000,0.082871,0.000000,0.000000,0,1.000000
37,225651964.878928,129927631.760000,5161,23612991.000000,664787887.000000,55881606.000000,23612991.000000,585293290.000000,0.084059,91719.568928,5257.134576,1,0.989183
38,223313526.424813,127875776.880000,5095,23547188.000000,664787887.000000,55043689.000000,23547188.000000,586197010.000000,0.082799,71638.144814,24794.045725,0,0.995522
39,223795776.789834,129586828.100000,5087,23242289.000000,664787887.000000,55083172.000000,23242289.000000,586462426.000000,0.082858,77678.239834,1120.833129,1,0.989183
40,227501590.194351,133766201.759999,5107,23115068.000000,664787887.000000,55416584.000000,23115068.000000,586256235.000000,0.083360,119363.034352,98704.406760,0,0.994686
41,227595118.129025,134071481.300000,5175,23090937.000000,664787887.000000,56324693.000000,23090937.000000,585372257.000000,0.084726,5341.979025,26959.551879,0,0.999644
42,225286684.791184,129678293.850000,5144,23602020.000000,664787887.000000,55631547.000000,23602020.000000,585554320.000000,0.083683,20209.941185,147504.864718,0,0.998244
43,226974256.800000,129529316.850000,5067,24060479.000000,664787887.000000,54517249.000000,24060479.000000,586210159.000000,0.082007,0.000000,0.000000,0,1.000000
44,225497650.615686,130272341.930000,5105,23512090.000000,664787887.000000,55219169.000000,23512090.000000,586056628.000000,0.083063,1344.185686,7684.063734,0,0.999894
45,225141665.190676,129014597.070000,5104,23729245.000000,664787887.000000,55048076.000000,23729245.000000,586010566.000000,0.082805,23625.870676,200793.741705,0,0.998574
46,225295098.952110,130521743.260000,5109,23395840.000000,664787887.000000,55333231.000000,23395840.000000,586058816.000000,0.083234,20203.692110,1585.262603,0,0.997350
47,231120002.496769,134334373.530000,5101,23891572.000000,664787887.000000,55004206.000000,23891572.000000,585892109.000000,0.082739,24762.366769,31453.448339,0,0.999348
48,232775874.792076,134706407.890000,5109,24209630.000000,664787887.000000,54934014.000000,24209630.000000,585644243.000000,0.082634,20465.402076,83708.364454,0,0.999894
49,228860740.427384,131947526.570000,5118,23928850.000000,664787887.000000,55140203.000000,23928850.000000,585718834.000000,0.082944,1371.357384,371.110456,0,0.999900
50,223390078.261229,127830022.500000,5121,23593246.000000,664787887.000000,55350779.000000,23593246.000000,585843862.000000,0.083261,7409.461229,62564.483136,0,0.999789
51,225395101.992924,128815724.030000,5087,23812610.000000,664787887.000000,54859435.000000,23812610.000000,586115842.000000,0.082522,138307.462924,163367.464378,1,0.987883
52,221858677.767468,127247510.100000,5091,23356355.000000,664787887.000000,55105107.000000,23356355.000000,586326425.000000,0.082891,17929.917468,23304.241215,0,0.997862
53,226822058.650000,131242771.450000,5109,23599824.000000,664787887.000000,55170912.000000,23599824.000000,586017151.000000,0.082990,0.000000,0.000000,0,1.000000
54,228081610.724861,132152450.990000,5145,23680991.000000,664787887.000000,55653482.000000,23680991.000000,585453414.000000,0.083716,21146.184861,936.149690,0,0.995995
