id,cost
68893,4834
68894,112
68895,118
68896,128
68897,100
68898,2597
68899,19202
68900,2193
68902,20667
68903,18425
68904,5083
68945,7574
68946,6635
68958,104
68959,239
68960,1362
69135,108880
69136,226058
69137,33957
69142,113
69144,386
69145,556
69146,10842
69147,12083
69148,2853
69150,292
69151,560
69152,7037
69153,10876
69154,25300
69155,93238
69156,777
69158,130
69159,98332
69160,72010
69166,3000
69167,7928
69168,103
69171,17742
69172,7246
69179,2989
69200,33044
69201,161950
69202,410898
69203,134553
69204,49658
69226,101
69227,42874
69228,7822
69229,2049
69230,2885
69231,1248
69237,18788
69238,18325
69240,11261
69241,12156
69242,378
69243,10713
69244,5442
69245,15358
69246,14812
69247,14392
69248,26465
69249,7065
69256,20328
69257,10769
69258,21211
69259,10877
69264,45278
69342,28363
69343,11679
69346,3883
69347,808
69348,2937
69349,78518
69350,95494
69351,84661
69352,44755
69360,20449
69361,13831
69362,63658
69363,58668
69364,24010
69783,2981
69784,12851
69785,21791
69786,25394
69787,19778
69788,16987
69789,13816
69791,24969
69792,15734
69793,11621
69837,8344
69838,9461
69839,3142
69851,2334
69852,16826
69853,109
70026,274891
70027,350154
70028,103570
70029,130576
70037,776
70038,13741
70041,120
70043,32195
70044,131141
70045,94589
70046,79144
70047,1315
70048,190
70049,32273
70050,361073
70051,298784
70052,1691
70058,1952
70061,4733
70063,100
70085,336
70089,104
70091,20132
70092,2605
70093,35170
70117,730
70118,40313
70119,4789
70120,3077
70121,2191
70128,21167
70130,246
70131,22512
70132,14129
70133,16934
70134,6365
70135,32337
70136,140467
70137,4393
70138,7555
70139,15886
70147,33119
70148,65329
70149,66902
70150,4705
70154,85703
70155,48317
70156,1549
70158,8024
70159,1502
70164,2415
70166,20722
70167,20825
70168,13253
70222,129
70223,123
70224,128
70233,36562
70234,5005
70236,15464
70241,53241
70242,19157
70249,5367
70250,32990
70251,20004
70252,59333
70253,110890
70254,16670
70683,9000
70728,1336
70729,122
70730,7448
70731,11680
70732,2209
70743,3715
70744,72209
70745,133323
70746,41757
70747,12125
70917,306432
70918,456066
70919,400997
70920,485148
70921,162132
70923,28606
70924,99277
70925,75395
70927,57907
70928,66180
70929,55601
70930,52998
70931,12570
70932,1160
70933,104
70934,17039
70935,100
70936,102
70937,153338
70938,195755
70939,23641
70940,114756
70941,152353
70942,212526
70943,527
70954,106
70981,103
70983,55624
70984,22975
71009,22744
71010,3800
71011,1478
71012,2768
71018,10972
71019,31178
71020,7938
71021,39287
71022,4371
71023,34533
71024,4786
71025,2573
71026,35107
71027,51899
71028,13362
71029,7738
71030,18377
71038,2314
71039,49427
71045,70347
71046,9337
71047,8074
71048,34210
71049,145340
71050,156230
71051,48443
71052,89180
71055,58971
71056,201
71057,54581
71058,13934
71059,19741
71125,24722
71126,32428
71131,14949
71132,64460
71133,33926
71134,37826
71140,14129
71141,100
71142,113
71143,53813
71144,29478
71623,8509
71624,8084
71625,21810
71626,20864
71627,5724
71637,44466
71638,74379
71639,38193
71640,32732
71641,56888
71642,1243
71808,469277
71809,331628
71810,2272
71811,11262
71812,173265
71813,205147
71814,169511
71815,29665
71816,27406
71817,158190
71818,49063
71819,155187
71820,239475
71821,27185
71822,2090
71823,481
71824,100
71829,8536
71830,169665
71831,77484
71832,7378
71833,195
71834,615
71840,4423
71841,2830
71871,142
71873,50606
71874,287196
71875,192
71894,136
71895,174
71896,106
71900,15656
71901,74411
71902,923
71903,2195
71908,196
71909,130
71910,25886
71911,44057
71912,27708
71913,39300
71914,47748
71915,38886
71916,4869
71917,591
71918,2957
71919,348
71920,9702
71921,23986
71936,387797
71937,47092
71938,131221
71939,65737
71941,34591
71942,161388
71943,7104
72009,3039
72010,33532
72011,29346
72012,20821
72013,27250
72018,20340
72022,48478
72023,70146
72024,40038
72025,16893
72029,1396
72030,10232
72031,381
72033,14759
72034,86219
72035,1603
72430,21813
72431,11161
72432,11641
72433,8768
72434,9879
72435,6574
72436,8823
72437,6800
72512,100
72517,2164
72518,7527
72519,3965
72532,19003
72533,105544
72534,11710
72694,69266
72695,310121
72697,430071
72698,279550
72699,66098
72700,103
72704,100
72711,104
72712,100
72713,113
72714,102
72718,101
72722,83063
72723,213712
72724,85781
72725,110601
72726,56602
72727,541
72762,1124
72763,31622
72764,150917
72765,36811
72766,266
72767,109
72783,362
72784,8819
72785,147
72786,152
72787,18232
72788,12607
72789,16489
72790,744
72791,172
72792,55756
72793,1854
72794,5912
72798,135
72801,7024
72802,25054
72803,22736
72804,7341
72805,17980
72806,29700
72807,10216
72808,1931
72809,701
72810,572
72811,1010
72812,20947
72826,2315
72827,510967
72828,381821
72829,83285
72830,5511
72831,3345
72832,8523
72833,487
72892,131966
72897,2638
72900,6823
72901,24088
72902,56994
72903,39429
72904,6244
72909,16673
72912,30581
72913,36065
72914,30807
72915,53542
72916,4924
72920,5656
72921,100
72924,48159
72925,10402
73316,4261
73317,974
73320,11097
73321,10778
73325,2005
73326,3574
73328,1345
73329,4379
73330,1164
73331,1633
73367,1085
73368,1915
73369,145
73410,12440
73411,40407
73412,14350
73424,103
73425,67207
73426,71384
73427,94855
73428,69025
73429,11473
73585,312
73586,255918
73587,435448
73588,314318
73589,957
73601,105
73602,106
73603,103
73604,114
73605,108
73606,102
73616,38297
73617,2537
73618,5528
73652,9422
73653,17378
73656,100
73657,125
73674,10970
73675,1173
73680,3215
73681,46921
73682,44037
73683,28574
73684,1542
73685,776
73692,1444
73693,40636
73694,59092
73695,66954
73696,34815
73697,18006
73698,7003
73699,8818
73700,4161
73701,1811
73702,6144
73703,41933
73712,4188
73713,16976
73717,19975
73718,296957
73719,16134
73720,21121
73721,6735
73722,16468
73779,3741
73782,102
73788,2338
73791,4708
73792,50904
73793,182605
73794,26267
73802,25850
73803,84403
73804,49722
73805,16121
73806,105
73808,126
73809,103
73810,13209
73811,11955
73814,3240
73815,56758
74193,1048
74194,12434
74202,391
74203,30712
74204,46893
74205,33104
74206,52544
74207,107923
74208,195549
74209,118039
74210,10263
74211,19591
74212,18116
74222,2023
74223,11832
74224,1949
74225,18021
74226,10941
74227,38645
74228,5927
74230,19313
74231,17801
74232,7373
74247,1083
74251,47569
74255,8683
74256,8044
74257,245
74258,1250
74259,100
74260,648
74261,12103
74262,2137
74263,4228
74264,5309
74265,24512
74266,16723
74267,3508
74268,3857
74298,414
74303,12548
74304,1717
74320,34555
74321,4908
74475,180379
74476,389074
74477,446489
74478,308320
74479,12843
74492,102
74493,105
74494,111
74495,109
74496,102
74502,100
74508,18871
74509,269
74543,65610
74544,7661
74565,12413
74570,289
74571,468
74573,141
74574,1540
74575,5178
74576,1511
74582,129
74583,4157
74584,16350
74585,7000
74586,31399
74587,26031
74588,3323
74589,6620
74590,12997
74591,5573
74592,6823
74593,14795
74594,121400
74595,7175
74603,10766
74669,6084
74678,133
74693,104524
74700,42234
74701,40474
74702,101
74704,23790
74705,74023
74706,25034
75076,4523
75077,22574
75078,41095
75079,2426
75084,25827
75085,133941
75086,37566
75088,543
75089,4861
75090,3478
75092,6102
75093,33875
75094,2422
75095,12353
75099,106321
75100,139620
75103,45945
75117,2805
75119,36847
75120,14717
75121,59448
75123,20963
75124,19163
75125,55582
75126,17242
75127,20012
75132,779
75134,874
75135,7283
75136,7854
75137,8984
75138,3760
75139,3756
75140,10448
75141,7052
75142,1849
75143,1091
75144,126
75145,736
75146,1044
75147,259
75148,4686
75153,100
75154,25092
75155,27993
75156,18218
75157,7498
75159,1118
75160,28837
75161,19710
75162,12381
75195,23387
75212,79563
75213,77750
75214,47429
75215,11170
75257,100
75258,101
75260,100
75366,57676
75367,290435
75368,315931
75369,1382
75382,101
75383,100
75384,102
75385,100
75399,59712
75400,109472
75401,191093
75402,21344
75403,150
75432,3101
75434,177518
75435,46382
75456,7226
75461,431
75462,384
75463,157
75464,603
75465,3240
75466,2795
75467,2369
75468,158
75472,580
75473,1193
75474,5905
75475,8196
75476,6256
75477,10583
75478,4600
75479,8344
75480,17634
75481,18207
75482,19686
75483,31168
75484,246342
75485,429493
75486,6998
75494,6764
75557,34930
75558,9192
75559,53756
75560,75576
75561,36846
75562,65112
75563,18785
75564,18644
75565,11742
75584,6131
75591,800
75592,51436
75594,21664
75595,100880
75596,23113
75967,93906
75968,18968
75969,3553
75970,30837
75976,154982
75977,83827
75979,28010
75981,1835
75983,6113
75984,58001
75985,46390
75986,86260
75991,40228
75992,32557
75993,964
75994,75364
76005,92494
76006,50492
76007,68585
76008,23799
76010,2796
76011,92590
76012,216259
76015,13879
76016,53869
76017,9650
76018,10966
76019,20752
76020,29693
76021,10494
76023,15587
76024,17942
76025,23719
76026,70886
76027,60904
76028,1735
76053,18959
76054,17009
76055,20529
76056,18548
76057,1615
76058,3775
76086,7928
76087,210
76104,2062
76105,39273
76106,70110
76107,62519
76108,8966
76145,103
76147,101
76151,102
76257,123
76258,359392
76259,37106
76289,6843
76290,308515
76291,401720
76292,372738
