species,pu,amount
10,55566,271405.23781
20,55566,1
1,55567,136338.490869
5,55567,1150387.210184
7,55567,1446318.130929
8,55567,65312.865892
9,55567,1628882.510273
10,55567,97677.095436
20,55567,1
48,55567,100000000
1,55568,121894.069348
2,55568,2513354.12364
3,55568,37285.947583
5,55568,3842349.673374
7,55568,4674224.586193
8,55568,4282724.626818
9,55568,7826352.615901
10,55568,196010.967948
20,55568,1
48,55568,100000000
1,55569,7197.006546
2,55569,2084259.821692
3,55569,25994.129436
5,55569,579008.916714
6,55569,1531.14282
7,55569,5629973.29246799
8,55569,2147359.70518
9,55569,1668916.94888
10,55569,88815.337949
20,55569,1
1,55570,943037.532652
2,55570,1447574.040144
5,55570,727144.65292
6,55570,15999.445136
7,55570,8047907.24313401
8,55570,14189.297608
9,55570,886101.020628999
10,55570,168197.060946
20,55570,1
1,55571,97968.537926
2,55571,412955.610139
5,55571,121108.771075
6,55571,20451.694263
7,55571,523293.250139
8,55571,1456.677702
9,55571,124191.135231
10,55571,6748.649399
20,55571,1
2,55572,277273.749629
20,55572,1
1,55573,2274934.07737
2,55573,93072.502354
3,55573,108234.946279
5,55573,1519321.068608
7,55573,1106631.910601
8,55573,10797.216858
9,55573,10764.233194
10,55573,10786.332841
20,55573,1
29,55862,1
29,55863,1
29,55864,1
29,55865,1
1,55871,1525269.222761
29,55871,1
1,55872,44397.618653
29,55872,1
1,55873,1832947.303818
29,55873,1
1,55874,2293611.677915
29,55874,1
1,55875,1334235.209964
29,55875,1
48,55875,100000000
1,55878,188468.324119
26,55878,1
48,55878,100000000
1,55879,12432063.333603
26,55879,1
48,55879,100000000
1,55881,312203.071122
26,55881,1
48,55881,100000000
1,55884,235572.541485
26,55884,1
1,55885,440649.780295
26,55885,1
1,55887,1432860.234322
26,55887,1
48,55887,100000000
1,55888,1089419.156616
26,55888,1
48,55888,100000000
1,55889,3835103.286579
26,55889,1
48,55889,100000000
1,55890,646409.873177
26,55890,1
48,55890,100000000
1,55891,882246.768909
26,55891,1
48,55891,100000000
1,55892,380993.764356
26,55892,1
48,55892,100000000
1,55893,172984.173101
26,55893,1
48,55893,100000000
1,55895,51868.841367
26,55895,1
48,55895,100000000
1,55896,151020.519061
26,55896,1
48,55896,100000000
1,55897,57900.631456
26,55897,1
48,55897,100000000
1,55898,482505.190541
26,55898,1
48,55898,100000000
1,55904,1435505.261305
26,55904,1
1,55934,6027.531362
26,55934,1
1,55935,834059.425141
26,55935,1
1,55936,2170875.287435
26,55936,1
1,56001,31212.12405
25,56001,1
1,56002,1949338.14876
25,56002,1
1,56003,556078.817112
25,56003,1
1,56004,450598.787806
25,56004,1
1,56005,8667.593234
25,56005,1
1,56007,2424108.803666
2,56007,1548356.928683
25,56007,1
50,56007,100000000
1,56008,947923.670693
25,56008,1
50,56008,100000000
1,56046,3373911.319839
31,56046,1
1,56047,223954.270071
31,56047,1
1,56048,800689.325855
31,56048,1
1,56049,1822573.930517
2,56049,1424842.26757
31,56049,1
1,56050,3526799.545847
2,56050,2358379.31686
31,56050,1
1,56051,2382337.546135
31,56051,1
1,56444,269720.923496
5,56444,1026.78935
20,56444,1
1,56445,6945446.260574
3,56445,875236.504102
5,56445,1764892.798065
7,56445,461854.284391
8,56445,410628.203667
10,56445,83829.877684
20,56445,1
1,56446,2428393.921894
3,56446,286053.779684
5,56446,312239.6138
7,56446,129888.054363
8,56446,104908.310884
10,56446,140463.211122
20,56446,1
1,56462,1997502.086782
2,56462,360145.220505
5,56462,532195.553204
6,56462,5814.156659
7,56462,3994506.698419
8,56462,2161.484765
9,56462,108780.620263
10,56462,117871.615277
20,56462,1
1,56463,193282.488714
2,56463,218344.030456
5,56463,1550716.634629
7,56463,2414828.834274
10,56463,78319.317787
20,56463,1
2,56464,135372.702403
5,56464,94768.371888
7,56464,17579.776853
10,56464,205.677679
20,56464,1
1,56465,2701139.606172
2,56465,330784.283734
5,56465,1908626.08077
7,56465,839866.254011
8,56465,49685.409336
10,56465,45287.844526
20,56465,1
1,56466,9795610.399694
2,56466,513585.569412
5,56466,1620955.475225
7,56466,2070896.787743
8,56466,131463.968467
10,56466,54116.872517
20,56466,1
29,56753,1
29,56754,1
1,56759,267545.240361
29,56759,1
1,56760,89080.520721
29,56760,1
1,56761,2525563.146642
29,56761,1
1,56762,4017485.369732
2,56762,224233.051248
29,56762,1
1,56763,1466125.665296
2,56763,1132804.899936
29,56763,1
1,56764,2021446.274659
2,56764,2807574.538849
29,56764,1
1,56765,7148595.217507
2,56765,4508605.052733
29,56765,1
1,56766,8025573.521724
2,56766,2115050.948065
29,56766,1
48,56766,100000000
1,56767,4588695.699246
2,56767,362420.528254
26,56767,1
48,56767,100000000
1,56768,1605694.147764
26,56768,1
48,56768,100000000
1,56769,2706419.870564
26,56769,1
48,56769,100000000
1,56770,2665112.079755
26,56770,1
48,56770,100000000
1,56771,2572447.857397
2,56771,711149.006744
26,56771,1
48,56771,100000000
1,56772,3353326.690684
2,56772,735142.048172
26,56772,1
48,56772,100000000
1,56773,2639785.27444
2,56773,846863.315937
26,56773,1
1,56774,1298196.766784
2,56774,148320.673074
26,56774,1
1,56775,13984.123514
26,56775,1
1,56776,183339.701732
26,56776,1
1,56777,750922.510164
26,56777,1
1,56778,6880159.604231
26,56778,1
48,56778,100000000
1,56779,18354135.43551
26,56779,1
48,56779,100000000
1,56780,11626840.480766
26,56780,1
48,56780,100000000
1,56781,212238.37762
26,56781,1
48,56781,100000000
1,56788,1053972.445516
26,56788,1
48,56788,100000000
1,56789,224992.451462
26,56789,1
48,56789,100000000
1,56790,402092.331006
26,56790,1
1,56791,302085.083068
26,56791,1
1,56792,1039627.691558
26,56792,1
1,56793,919677.326544
26,56793,1
1,56794,2029150.801976
26,56794,1
1,56891,982661.066916
25,56891,1
1,56892,2114090.432985
25,56892,1
1,56893,45691.515135
25,56893,1
1,56897,61559.936155
25,56897,1
50,56897,100000000
1,56898,2453775.810357
25,56898,1
50,56898,100000000
1,56937,1962596.923685
31,56937,1
1,56938,2651932.15792
2,56938,312229.658338
31,56938,1
1,56939,1428062.798686
31,56939,1
1,56940,1031801.762681
2,56940,284207.31058
31,56940,1
1,56941,3618052.174481
2,56941,43808.892883
31,56941,1
1,56942,2714955.185573
31,56942,1
1,57336,2445104.911877
3,57336,561161.353363
5,57336,618478.902647
7,57336,603669.358527
8,57336,85714.881267
10,57336,121024.878721
20,57336,1
1,57337,14172520.59553
3,57337,1105415.935925
5,57337,943172.601855
7,57337,390711.273142
8,57337,678719.408988
10,57337,295698.933932
20,57337,1
1,57338,6915938.031578
3,57338,1937694.421463
5,57338,311939.462591
7,57338,1373280.712039
8,57338,555405.9003
10,57338,84024.883766
20,57338,1
1,57339,1495464.775424
3,57339,785797.772278
5,57339,153867.463704
7,57339,362089.397107
8,57339,73197.206746
10,57339,27441.088502
20,57339,1
1,57340,5465601.295477
3,57340,773124.13061
5,57340,603089.090787
7,57340,15238.375548
8,57340,1777395.352919
10,57340,13127.598089
20,57340,1
1,57341,1951193.350574
3,57341,142917.454538
