id,cost,status
50556,19891,0
50557,5408,0
50558,56867,0
50559,89403,0
50560,81472,0
50561,80826,0
50562,256779,0
50563,150391,0
50565,62484,0
50566,101443,0
50567,76691,0
50568,42225,0
50569,51842,0
50570,55360,0
50571,105384,0
50572,67792,0
50633,6284,0
50634,14777,0
50708,80430,0
50709,114068,0
51430,12360,0
51431,73497,0
51432,82980,0
51433,7803,0
51434,116420,0
51435,109659,0
51436,126187,0
51437,62152,0
51438,42745,0
51439,41566,0
51440,61627,0
51441,10898,0
51442,124,0
51444,208,0
51445,1435,0
51446,3798,0
51447,19441,0
51448,38470,0
51449,66688,0
51450,133916,0
51451,129097,0
51452,294631,0
51453,15433,0
51459,1751,0
51599,56071,0
51600,85953,0
52317,27320,0
52318,45922,0
52319,49527,0
52320,71009,0
52321,17396,0
52322,12751,0
52323,31344,0
52324,5728,0
52325,39159,0
52326,40876,0
52327,115,0
52331,22717,0
52332,146933,0
52333,54493,0
52334,11695,0
52335,57088,0
52336,66095,0
52337,73016,0
52338,35359,0
52339,34954,0
52340,72288,0
52341,196788,0
52342,126652,0
52343,5040,0
52346,310,0
52347,132,0
52895,9574,0
52896,10816,0
53208,47804,0
53209,111141,0
53210,85683,0
53212,29634,0
53213,34567,0
53214,38842,0
53215,17967,0
53224,139184,0
53225,195076,0
53226,116507,0
53227,14379,0
53229,54077,0
53230,111933,0
53231,35389,0
53235,21670,0
53786,51965,0
53787,64126,2
53788,108733,0
54097,56343,0
54098,10087,0
54100,34456,0
54101,26791,0
54117,46342,0
54118,61325,0
54119,35862,0
54120,5357,0
54126,6534,0
54227,8536,0
54660,20420,0
54675,22227,0
54676,59535,0
54677,99515,0
54678,217,0
54679,118785,0
54680,64879,2
54681,6570,0
54682,9517,0
54971,109,0
54983,19690,0
54984,52583,0
54988,98893,0
54989,60161,0
54991,1886,0
54992,36590,0
54999,11818,0
55000,38344,0
55001,56627,0
55004,47057,0
55005,8345,0
55006,19586,0
55007,75532,0
55008,233290,0
55013,77931,0
55014,81423,0
55015,27821,0
55042,73583,0
55043,204414,0
55044,78643,0
55114,18158,0
55115,44220,0
55116,71893,0
55117,148339,0
55118,63962,0
55119,22735,0
55155,14283,0
55156,14369,0
55157,5689,0
55158,7245,0
55159,4154,0
55566,21081,0
55567,29212,2
55568,142811,0
55569,72885,0
55570,77920,0
55571,6748,0
55572,107,0
55573,28176,0
55862,158,0
55863,101,0
55864,101,0
55865,139,0
55871,43843,0
55872,89651,0
55873,53459,0
55874,16795,0
55875,12301,0
55878,4923,0
55879,78335,0
55881,1966,0
55884,11101,0
55885,25384,0
55887,7668,0
55888,6003,0
55889,56776,0
55890,63178,0
55891,40937,0
55892,30902,0
55893,6058,0
55895,15752,0
55896,48007,0
55897,266094,0
55898,134156,0
55904,10435,0
55934,6112,0
55935,203626,0
55936,80865,0
56001,661,0
56002,46589,0
56003,23779,0
56004,20664,0
56005,980,0
56007,62891,0
56008,14340,0
56046,40891,0
56047,5890,0
56048,7973,0
56049,14267,0
56050,32756,0
56051,15897,0
56444,628,0
56445,29965,2
56446,10245,0
56462,40513,0
56463,30639,0
56464,977,0
56465,31306,0
56466,60770,0
56753,165,0
56754,117,0
56759,2977,0
56760,82545,0
56761,87540,0
56762,83733,0
56763,56148,0
56764,45818,0
56765,56509,0
56766,156035,0
56767,49545,0
56768,10528,0
56769,23525,0
